"Title","English.title","Runtime","Producer","Cost","Kinopoisk.mark","Marks.from.kinopoisk","IMDb.mark","Marks.from.IMDb"
"Битва преподов","Fist Fight",91,"Ричи Кин","22000000",5.367,5148,5.6032,32317
"Дневник слабака 4: Долгое путешествие","Diary of a Wimpy Kid: The Long Haul",91,"Дэвид Бауэрс","22000000",5.327,226,4.405,5088
"Все только начинается","Just Getting Started",97,"Рон Шелтон","22000000",5.127,2697,4.304,4099
"Кунхам: Пограничный остров","Gunhamdo",132,"Рю Сын-ван","21000000",7.126,714,7.104,4029
"Похищение","Kidnap",95,"Луис Прието","21000000",6.079,8256,5.9026,26954
"Чудо","Wonder",113,"Стивен Чбоски","20000000",8.034,37834,8.00103,103668
"Жена смотрителя зоопарка","The Zookeeper's Wife",127,"Ники Каро","20000000",6.999,14882,7.0028,28650
"Спасибо за вашу службу","Thank You for Your Service",109,"Джейсон Холл","20000000",6.425,1238,6.508,8811
"Урожай дьявола","Bitter Harvest",103,"Джордж Менделюк","20000000",6.378,1667,6.002,2875
"Хижина","The Shack",132,"Стюарт Хэзелдайн","20000000",6.362,4050,6.3023,23824
"Путеводная звезда","The Star",86,"Тимоти Рекарт","20000000",6.259,511,6.004,4213
"Очень плохие девчонки","Rough Night",101,"Люсия Аньелло","20000000",5.486,15580,5.2036,36014
"Форма воды","The Shape of Water",123,"Гильермо дель Торо","19400000",6.909,81583,7.40266,266469
"Коматозники","Flatliners",109,"Нильс Арден Оплев","19000000",5.646,24283,5.203,30712
